id	name	Nikita	Andrey	Alexey	Result OR	Result AND	Count Yes > 1
1414	Preston Scrape	Yes	No	Yes	TRUE	FALSE	TRUE
834	Serin	No	No	No	FALSE	FALSE	FALSE
1302	davidb	Yes	No	Yes	TRUE	FALSE	TRUE
1135	Linda Andrus	Yes	No	Yes	TRUE	FALSE	TRUE
1440	P Moscato	Yes	Yes	No	TRUE	FALSE	TRUE
870	Barbara Bulkeley	No	Yes	No	TRUE	FALSE	FALSE
1256	Graeme Dunlop	Yes	No	No	TRUE	FALSE	FALSE
1255	Daniel Paashaus	No	No	No	FALSE	FALSE	FALSE
1157	Bev J Stevens	No	No	No	FALSE	FALSE	FALSE
934	Darla	No	No	Yes	TRUE	FALSE	FALSE
1281	garbageman99	Yes	No	Yes	TRUE	FALSE	TRUE
819	n8evv	Yes	No	No	TRUE	FALSE	FALSE
1041	mjbrichant	Yes	No	Yes	TRUE	FALSE	TRUE
863	K Hindall	No	No	No	FALSE	FALSE	FALSE
1303	kiwafruit	No	No	No	FALSE	FALSE	FALSE
1115	Rachel Gatwood	No	No	No	FALSE	FALSE	FALSE
1539	Nathan Jordan	No	No	No	FALSE	FALSE	FALSE
1428	Gary Dzierlenga	No	No	No	FALSE	FALSE	FALSE
1049	Diana Solomon	No	No	No	FALSE	FALSE	FALSE
1546	Carrie Heyes	No	No	No	FALSE	FALSE	FALSE
1089	Bill Ruhsam	No	No	No	FALSE	FALSE	FALSE
1142	Jonathan Burchard	Yes	No	Yes	TRUE	FALSE	TRUE
1375	Frank Adams	Yes	No	No	TRUE	FALSE	FALSE
881	mpetranech	Yes	No	Yes	TRUE	FALSE	TRUE
798	Wyatt	No	No	No	FALSE	FALSE	FALSE
1647	Patrick Reinhart	No	No	No	FALSE	FALSE	FALSE
1587	Claudia Wilson	Yes	No	No	TRUE	FALSE	FALSE
830	musici123	Yes	No	No	TRUE	FALSE	FALSE
1592	jerryB	No	No	No	FALSE	FALSE	FALSE
839	Ben Dutton	No	No	No	FALSE	FALSE	FALSE
835	Rachel Lintern	Yes	No	Yes	TRUE	FALSE	TRUE
1273	gmiteva	Yes	No	No	TRUE	FALSE	FALSE
932	Raerity	Yes	Yes	No	TRUE	FALSE	TRUE
1108	Paul McCartan	No	No	No	FALSE	FALSE	FALSE
732	Tysto	Yes	Yes	No	TRUE	FALSE	TRUE
781	Megan Kunkel	No	No	No	FALSE	FALSE	FALSE
1555	Andrew Nelson	No	No	No	FALSE	FALSE	FALSE
1437	Charles RUHE	No	No	No	FALSE	FALSE	FALSE
1402	Angel5	Yes	No	Yes	TRUE	FALSE	TRUE
963	MichelleHarris	No	No	No	FALSE	FALSE	FALSE
1181	J. Rebecca Franklin	No	No	No	FALSE	FALSE	FALSE
818	Matt Warzel	No	No	No	FALSE	FALSE	FALSE
1285	Ric F	Yes	No	No	TRUE	FALSE	FALSE
797	Chris Jones	Yes	No	No	TRUE	FALSE	FALSE
1505	Rom Maczka	Yes	No	No	TRUE	FALSE	FALSE
1214	David Baldwin	No	No	No	FALSE	FALSE	FALSE
1636	jessecoy	No	No	No	FALSE	FALSE	FALSE
929	Petra	Yes	Yes	No	TRUE	FALSE	TRUE
1171	Roberta Carlisle	No	No	No	FALSE	FALSE	FALSE
817	texttalker	Yes	Yes	No	TRUE	FALSE	TRUE
1433	browneyedgirl32382	Yes	Yes	Yes	TRUE	TRUE	TRUE
1158	StarrDog	Yes	No	No	TRUE	FALSE	FALSE
1000	artos	No	No	No	FALSE	FALSE	FALSE
848	senshisteph	Yes	No	No	TRUE	FALSE	FALSE
1596	Joyce Couch	Yes	Yes	No	TRUE	FALSE	TRUE
757	Roger Melin	Yes	No	No	TRUE	FALSE	FALSE
1168	Epistomolus	Yes	No	No	TRUE	FALSE	FALSE
741	Nick Marsh	Yes	No	No	TRUE	FALSE	FALSE
1649	Phineas Redux	No	No	No	FALSE	FALSE	FALSE
851	Jennifer Lott	Yes	Yes	Yes	TRUE	TRUE	TRUE
808	M. J. Boyle	No	No	No	FALSE	FALSE	FALSE
1595	Matthew Reece	No	No	No	FALSE	FALSE	FALSE
1370	Savanna Herrold	Yes	Yes	Yes	TRUE	TRUE	TRUE
1565	bryan.peterson	No	Yes	No	TRUE	FALSE	FALSE
944	Sarafina Suransky	Yes	No	No	TRUE	FALSE	FALSE
1268	A. Janelle Risa	Yes	No	No	TRUE	FALSE	FALSE
771	Isosceles	No	No	No	FALSE	FALSE	FALSE
752	Cat Schirf	No	No	No	FALSE	FALSE	FALSE
800	Jack Farrell	No	No	No	FALSE	FALSE	FALSE
1005	Beatrice	Yes	No	No	TRUE	FALSE	FALSE
1229	RoseA	No	No	No	FALSE	FALSE	FALSE
943	Matthew C. Heckel	No	No	No	FALSE	FALSE	FALSE
891	anoldfashiongirl	Yes	No	No	TRUE	FALSE	FALSE
1226	serenitylee	No	No	No	FALSE	FALSE	FALSE
1253	Caroline Shapiro	Yes	No	No	TRUE	FALSE	FALSE
1204	Dale A. Bade	Yes	No	Yes	TRUE	FALSE	TRUE
1230	Troy Bond	Yes	Yes	No	TRUE	FALSE	TRUE
791	David Kleparek	Yes	Yes	No	TRUE	FALSE	TRUE
1184	Joseph Couves	No	No	No	FALSE	FALSE	FALSE
1001	TriciaG	No	No	No	FALSE	FALSE	FALSE
804	FirstKnight	Yes	Yes	No	TRUE	FALSE	TRUE
1641	Kirsten Wever	No	No	No	FALSE	FALSE	FALSE
1259	Megan Argo	No	No	No	FALSE	FALSE	FALSE
1231	Abigail Bartels	No	No	No	FALSE	FALSE	FALSE
1410	Zachary Johnson	Yes	No	No	TRUE	FALSE	FALSE
1030	Ancient mariner	Yes	No	No	TRUE	FALSE	FALSE
1093	Katie Riley	No	No	No	FALSE	FALSE	FALSE
1254	Rosie	No	No	No	FALSE	FALSE	FALSE
1365	Eric Leach	Yes	No	No	TRUE	FALSE	FALSE
831	David Federman	No	No	No	FALSE	FALSE	FALSE
1989	Joannemmp	No	No	No	FALSE	FALSE	FALSE
1707	David Olson	No	No	No	FALSE	FALSE	FALSE
1849	Fred DeBerardinis	Yes	No	No	TRUE	FALSE	FALSE
1808	Rebecca King	Yes	No	Yes	TRUE	FALSE	TRUE
2292	Arnold	No	No	No	FALSE	FALSE	FALSE
2415	Patrick Eaton	No	No	No	FALSE	FALSE	FALSE
1656	Sharon Omi	Yes	Yes	No	TRUE	FALSE	TRUE
1676	Gargoyle	No	Yes	No	TRUE	FALSE	FALSE
1881	Julienne	No	No	Yes	TRUE	FALSE	FALSE
2036	T.K. Kirven	No	No	No	FALSE	FALSE	FALSE
1761	EliMarieHK	Yes	No	No	TRUE	FALSE	FALSE
2115	Pete Milan	Yes	Yes	Yes	TRUE	TRUE	TRUE
1803	Susan Hanfield	Yes	No	No	TRUE	FALSE	FALSE
1798	C. L. W. Rollins	Yes	No	No	TRUE	FALSE	FALSE
1723	Rachel Bossier	Yes	No	No	TRUE	FALSE	FALSE
2341	Haili	Yes	No	Yes	TRUE	FALSE	TRUE
2468	Erin Schellhase	Yes	Yes	No	TRUE	FALSE	TRUE
1725	Ruth Kidson	Yes	No	No	TRUE	FALSE	FALSE
2010	Peggy	Yes	No	No	TRUE	FALSE	FALSE
1853	Ron Altman	Yes	No	No	TRUE	FALSE	FALSE
2359	Doug Reed	No	No	No	FALSE	FALSE	FALSE
2422	Jude Somers	No	No	No	FALSE	FALSE	FALSE
2234	Coreena	No	No	No	FALSE	FALSE	FALSE
2156	C F de Rosset	No	No	Yes	TRUE	FALSE	FALSE
2483	Tammy Porter	No	No	No	FALSE	FALSE	FALSE
1781	humanode	No	No	No	FALSE	FALSE	FALSE
2275	NatalieOram	No	No	No	FALSE	FALSE	FALSE
2390	sdaeley17	No	No	No	FALSE	FALSE	FALSE
2314	Cheri Jordan	No	No	No	FALSE	FALSE	FALSE
2413	Joanne Rochon	No	No	No	FALSE	FALSE	FALSE
1697	Lonelle Yoder	No	No	No	FALSE	FALSE	FALSE
1718	Caroline Driggs	Yes	Yes	No	TRUE	FALSE	TRUE
2387	Brett G. Hirsch	No	No	No	FALSE	FALSE	FALSE
2331	Madam Fickle	No	No	No	FALSE	FALSE	FALSE
1783	Sarah Crampton	Yes	Yes	Yes	TRUE	TRUE	TRUE
2397	Rebecca Braunert-Plunkett	No	No	No	FALSE	FALSE	FALSE
2357	William Gavula	No	No	No	FALSE	FALSE	FALSE
1670	dmbrought	No	No	No	FALSE	FALSE	FALSE
1987	Andrew White	No	No	No	FALSE	FALSE	FALSE
1755	Yvonne Smith	Yes	Yes	No	TRUE	FALSE	TRUE
2192	Sammy Bean	Yes	Yes	No	TRUE	FALSE	TRUE
1716	EyeBones	Yes	No	No	TRUE	FALSE	FALSE
1828	David Wales	No	No	No	FALSE	FALSE	FALSE
2251	Wiley Combs	No	No	No	FALSE	FALSE	FALSE
2065	Muriel	No	No	No	FALSE	FALSE	FALSE
2017	CaprishaPage	Yes	No	No	TRUE	FALSE	FALSE
1947	Barbara Edelman	No	No	Yes	TRUE	FALSE	FALSE
1738	Lois C. Johnson	No	No	No	FALSE	FALSE	FALSE
1791	David Cummings	No	Yes	No	TRUE	FALSE	FALSE
2045	Linda Ciano	No	No	No	FALSE	FALSE	FALSE
2452	Walt Allan	No	No	Yes	TRUE	FALSE	FALSE
2040	MJ Franck	No	No	No	FALSE	FALSE	FALSE
1831	Nigel Boydell	Yes	No	No	TRUE	FALSE	FALSE
2371	Alexander Hatton	Yes	Yes	No	TRUE	FALSE	TRUE
1954	Szindbad	No	No	No	FALSE	FALSE	FALSE
1836	Kendall Ashyby	Yes	Yes	No	TRUE	FALSE	TRUE
2436	josembi	No	No	No	FALSE	FALSE	FALSE
2383	Emma Joyce	No	No	No	FALSE	FALSE	FALSE
2278	Jake Woldstad	No	No	No	FALSE	FALSE	FALSE
1741	anjieliu	Yes	Yes	No	TRUE	FALSE	TRUE
1857	Amanda Friday	Yes	No	No	TRUE	FALSE	FALSE
2370	gloriousjob	No	No	No	FALSE	FALSE	FALSE
1907	Snapdragon	No	No	No	FALSE	FALSE	FALSE
2225	nomorejeffs	No	Yes	No	TRUE	FALSE	FALSE
2439	KHand	Yes	Yes	No	TRUE	FALSE	TRUE
2239	amaskill	No	Yes	No	TRUE	FALSE	FALSE
2007	Art Leung	No	No	No	FALSE	FALSE	FALSE
2283	Tim Cote	No	No	No	FALSE	FALSE	FALSE
1712	Steve Belleguelle	Yes	Yes	Yes	TRUE	TRUE	TRUE
2094	Meg Cowan	Yes	No	No	TRUE	FALSE	FALSE
1772	haggisreflux	No	No	No	FALSE	FALSE	FALSE
2317	helengraves	Yes	No	No	TRUE	FALSE	FALSE
2241	Steven Reynolds	No	No	No	FALSE	FALSE	FALSE
2011	pekein	Yes	No	No	TRUE	FALSE	FALSE
1826	John Hoerr	Yes	No	No	TRUE	FALSE	FALSE
1695	Tina Nuzzi	Yes	No	No	TRUE	FALSE	FALSE
2451	DeanOBuchanan	Yes	No	No	TRUE	FALSE	FALSE
1771	Chelsea S.	Yes	No	No	TRUE	FALSE	FALSE
2441	Alison Stewart	No	No	No	FALSE	FALSE	FALSE
1745	Janet	No	No	No	FALSE	FALSE	FALSE
2358	Betty Perry	No	No	No	FALSE	FALSE	FALSE
2197	Mike Nelson	Yes	Yes	Yes	TRUE	TRUE	TRUE
2014	Eden Rea-Hedrick	Yes	No	No	TRUE	FALSE	FALSE
1672	Mike Wajda	No	No	No	FALSE	FALSE	FALSE
2394	TinaNygard2	No	Yes	No	TRUE	FALSE	FALSE
1657	alwpoe	No	No	No	FALSE	FALSE	FALSE
1728	Vinnie Tesla	Yes	Yes	No	TRUE	FALSE	TRUE
1805	Vince Dee	Yes	No	Yes	TRUE	FALSE	TRUE
2143	Suebee	Yes	Yes	No	TRUE	FALSE	TRUE
2084	Eberle Thomas	Yes	No	Yes	TRUE	FALSE	TRUE
2479	Daisy Flaim	No	No	No	FALSE	FALSE	FALSE
2152	Kristel Tretter	No	No	No	FALSE	FALSE	FALSE
2268	Greg Giordano	No	No	No	FALSE	FALSE	FALSE
1839	James E. Carson	No	No	No	FALSE	FALSE	FALSE
2056	acloward	Yes	Yes	No	TRUE	FALSE	TRUE
1814	polkadotish	No	No	No	FALSE	FALSE	FALSE
2127	Ron Lockhart	No	No	No	FALSE	FALSE	FALSE
2114	Larry Beasley	No	Yes	Yes	TRUE	FALSE	TRUE
2469	Kevin Owens	Yes	No	No	TRUE	FALSE	FALSE
2447	Deena Rhoads	Yes	Yes	No	TRUE	FALSE	TRUE
1724	Juliana M.	Yes	No	No	TRUE	FALSE	FALSE
1869	NastassiaS	Yes	Yes	Yes	TRUE	TRUE	TRUE
2209	Samantha J Gubitz	Yes	Yes	Yes	TRUE	TRUE	TRUE
2171	Carolyne	No	Yes	No	TRUE	FALSE	FALSE
2403	Ian Quinlan	Yes	No	No	TRUE	FALSE	FALSE
2032	doonaboon	Yes	No	No	TRUE	FALSE	FALSE
x	Joy S Grape	No	No	No	FALSE	FALSE	FALSE
